irrelevant_names
cad
electrical
mechanical
electronics
electromechanical
cell
storage
telecommunications
civil
highways
bridges
drainage
field
building
structures
telecoms
freelance
shift
store
nurse
medical
personal trainer
gym
couch
supervisor
swim
professor
doctor
cleaner
cleaning
waiter
waitress
bar
barista
restaurant
hotel
installation
lab technician
laboratory
laboratory technician
driver
wheel
buyer
apprentice
apprenticeships
maintenance
fire
vehicle
trainee
bilingual
speaking
speaker
structural
drilling
drafter
teacher
ecology
cnc
volunteer
